numero,titulo,vigor_inicial,origem
ICA 07-27,Processo de Gestão de Vulnerabilidades de Ativos de Tecnologia da Informação do Departamento de Controle do Espaço Aéreo,03/06/2024,SDTE
ICA 12-37,"Procedimentos para Padronização de Compras, Serviços e Obras no âmbito do SISCEAB",20/05/2024,SDOP
ICA 7-58,Estrutura e Funcionamento dos Comitês de Segurança da Informação no Departamento de Controle do Espaço Aéreo,03/06/2024,SDTE
ICA 7-35,Modelo de Estação de Trabalho Segura do Departamento de Controle do Espaço Aèreo,02/05/2024,SDTE
ICA 16-6,Gerenciamento de Riscos no DECEA e Organizações Subordinadas,05/04/2024,ASGOV
ICA 07-28,Processo de Gestão de Log do Departamento de Controle do Espaço Aéreo,01/03/2024,SDTE
ICA 07-31,Classificação dos Sistemas de Informação do SISCEAB,01/03/2024,SDTE
ICA 63-50,Programa de Prevenção do Risco associado ao uso indevido de substâncias psicoativas para Controladores de Tráfego Aéreo e  Operadores de Estação Aeronáutica,01/03/2024,SDAD
ICA 100-45,Habilitação Técnica para Gerente de Fluxo de Tráfego Aéreo,01/02/2024,SDOP
ICA 63-33,"Horário de Trabalho do Pessoal ATC, COM, MET, AIS, SAR e OPM",11/04/2023,SDOP
ICA 66-24,Elaboração e Emissão de Boletins Técnicos no âmbito do SISCEAB,02/01/2024,SDTE
ICA 100-22,Serviço de Gerenciamento de Fluxo de Tráfego Aéreo,02/01/2024,SDOP
ICA 37-924,Programa de Elevação de Nível de Proficiência em Inglês Aeronáutico,24/11/2023,SDAD
ICA 63-25,PRESERVAÇÃO E REPRODUÇÃO DE DADOS DE REVISUALIZAÇÕES E COMUNICAÇÕES ATS ,01/12/2023,SDOP
ICA 53-2,Sala de Informação Aeronáutica (Sala AIS),23/01/2020,SDOP
ICA 63-15,Inspeção de Saúde e Certificado Médico Aeronáutico para ATCO/OEA,01/09/2023,SDAD
ICA 07-36,Gestão de Ativos de Tecnologia da Informação no âmbito do Departamento de Controle do Espaço Aéreo,01/11/2023,SDTE
ICA 07-37,"Gestão de Controle de Acesso, Identidade e Criptografia de Tecnologia da Informação no âmbito do DECEA",02/10/2023,SDTE
ICA 100-41,Regras de Alocação de slots para Aviação geral em Aeródromos Coordenados,02/10/2023,SDOP
ICA 205-55,Segurança Orgânica e Defesa do Departamento de Controle do Espaço Aéreo,01/09/2023,DECEA
ICA 100-11,Plano de Voo,04/08/2017,SDOP
ICA 105-18,Gestão do Profissional MET,03/07/2023,SDOP
ICA 07-29,PROCESSO DE GESTÃO DE CÓPIAS DE SEGURANÇA DA INFORMAÇÃO DO DEPARTAMENTO DE CONTROLE DO ESPAÇO AÉREO,03/07/2023,SDTE
ICA 07-24,PROCESSO DE GESTÃO DE MUDANÇAS DE ATIVOS DE TECNOLOGIA DA INFORMAÇÃO DO DEPARTAMENTO DE CONTROLE DO ESPAÇO AÉREO,03/07/2023,SDTE
ICA 800-3,Procedimento para Tratar a não Conformidade no SGC Multisite do DECEA,01/06/2023,SDAD
ICA 100-40,AERONAVES NÃO TRIPULADAS E O ACESSO AO ESPAÇO AÉREO BRASILEIRO,03/07/2023,SDOP
ICA 63-10,Estações Prestadoras de Serviços de Telecomunicações e de Tráfego Aéreo - EPTA,01/06/2023,SDOP
ICA 37-937,CREDENCIAMENTO DE INSTITUIÇÕES DE ENSINO PARA APLICAÇÃO DOS CURSOS CNS014 E CNS018,01/06/2023,SDAD
ICA 07-21,Redes sem Fio WI-FI do Departamento de Controle do Espaço Aéreo,01/06/2023,SDTE
ICA 37-567,Currículo Mínimo do Curso de Especialização em Meteorologia Aeronáutica (MET 001),02/05/2023,SDAD
ICA 63-41,Efetivo Operacional,05/05/2023,SDOP
ICA 11-402,Procedimentos Administrativos para a Cessão de Bens e Benfeitorias do Comando da Aeronáutica para a Empresa NAV Brasil Serviços de Navegação Aérea,04/05/2023,SDTE
ICA 63-40,IMPLEMENTAÇÃO DE PROVISÃO NORMATIVA DA ORGANIZAÇÃO DE AVIAÇÃO CIVIL INTERNACIONAL NO SISCEAB,24/04/2023,DECEA
ICA 53-9,Circular de Informação Aeronáutica (AIC),02/05/2023,SDOP
ICA 81-1,OCORRÊNCIAS DE TRÁFEGO AÉREO.,19/04/2023,ASEGCEA
ICA 64-5,Habilitação Técnica para o Pessoal de ARCC e BRMCC,01/04/2023,SDOP
ICA 53-8,SERVIÇOS DE INFORMAÇÃO AERONÁUTICA,01/03/2023,SDOP
ICA 63-43,IMPLEMENTAÇÃO DE PROVISÃO NORMATIVA DA ORGANIZAÇÃO DE AVIAÇÃO CIVIL INTERNACIONAL PARA SISTEMAS E MATERIAIS DO SISCEAB.,01/03/2023,SDTE
ICA 9-1,METROLOGIA NO SISCEAB,01/03/2023,SDOP
ICA 205-51,GERENCIAMENTO DO RISCO AVSEC NO SISCEAB,24/02/2023,SDAD
ICA 351-5,Programa de Pesquisa Científica e Inovação Tecnológica Aplicada ao Controle do Espaço Aéreo(PPCITA),01/01/2023,A-PLAN
ICA 92-19,Proteção Contra-Incêndio em Ambientes Técnicos e Operacionais do SISCEAB,01/12/2022,SDTE
ICA 81-2,Gerenciamento da Segurança Operacional do SISCEAB,29/11/2022,ASEGCEA
ICA 102-7,Habilitação Técnica para Operador de Telecomunicações,01/12/2022,SDOP
ICA 102-14,Sistema de Telefonia do COMAER,01/09/2022,SDOP
ICA 12-36,Sistemática de Levantamento e Apropriação de Custos pelos Provedores de Serviços de Navegação Aérea no âmbito do Sistema de Controle do Espaço Aéreo ,01/01/2023,DECEA
ICA 37-269,NORMAS REGULADORAS DE CURSOS E TREINAMENTOS DO DEPARTAMENTO DE CONTROLE DO ESPAÇO AÉREO,01/07/2022,SDAD
ICA 105-12,Fraseologia VOLMET,07/11/2014,SDOP
ICA 53-6,Suplemento AIP,01/07/2022,SDOP
ICA 63-29,Emprego dos Radares Secundários e Transportáveis no SISCEAB.,01/06/2022,SDTE
ICA 173-4,Auditoria Técnica no SISCEAB.,01/06/2022,SDTE
ICA 800-8,Garantia da Segurança AVSEC para o SISCEAB,01/06/2022,SDAD
ICA 121-13,Inspeções de Segurança Operacional e de Segurança da Aviação Civil Contra Atos de Interferência Ilicita no Sistema de Controle do Espaço Aéreo Brasileiro,14/10/2021,GABCEA
ICA 800-9,Garantia de Qualidade e da Segurança de Sistemas e Produtos no âmbito do SISCEAB,02/05/2022,SDTE
ICA 53-7,Disponibilização e Utilização da Informação Aeronáutica em Formato Digital,02/03/2022,SDOP
ICA 102-11,Sistema de Radiomonitoragem,01/11/2021,SDTE
ICA 100-44,Conceito de Espaço Aéreo,01/11/2021,SDOP
ICA 105-6,"PROCESSAMENTO, ARQUIVAMENTO E DISPONIBILIZAÇÃO DE DADOS METEOROLÓGICOS.",01/11/2021,SDOP
ICA 63-12,Procedimentos de Segurança AVSEC para os Órgãos ATS do SISCEAB,01/07/2021,SDAD
ICA 37-733,Programa de Instruçao AVSEC para o SISCEAB,01/09/2021,SDAD
ICA 205-48,Programa Nacional de Segurança AVSEC para o SISCEAB,01/09/2021,SDAD
ICA 81-4,Instrução que Trata do Programa para Prevenção de Ocorrências de Incursão em Pista na Prestação dos Serviços de Tráfego Aéreo,01/09/2021,ASEGCEA
ICA 35-13,Prestação de Tarefa por Tempo Certo no Âmbito do Comando da Aeronáutica,03/08/2020,SDAD
ICA 96-2,Pessoal Graduado Cartografia - SCF,01/04/2021,SDOP
ICA 100-3,Operação Aerodesportiva de Aeronaves,01/01/2019,DGCEA
ICA 37-850,Programa de Pós-Graduação em Meteorologia (PPGM),01/02/2021,SDOP
ICA 96-3,Programa de Trabalho para Elaboração e Atualização de Cartas Aeronáuticas (PROCAR),14/01/2021,SDOP
ICA 11-408,Restrições aos objetos projetados no espaço aéreo que possam afetar adversamente a segurança ou a regularidade das operações aéreas”.,04/01/2021,SDOP
ICA 11-4,"Processos para Análise de Projetos de Construção ou Modificação de Aeródromos, Aeroportos, Helipontos e Helipontos Militares",04/01/2021,NOR-5
ICA 55-64,Condução de Operações Militares no SISCEAB,06/03/2020,D-CCO
ICA 63-39,Gerenciamento do Programa DECEA EUROCONTROL,28/08/2017,CGNA
ICA 63-18,"Critérios de Implantação de Órgãos Operacionais, Auxílios à Navegação Aérea e Sistemas de Apoio aos Órgãos ATS",01/02/2021,NOR-1
ICA 63-27,Procedimentos dos Operadores AIS Relacionados ao DCERTA,24/04/2020,NOR-4
ICA 105-17,Centros Meteorológicos,03/11/2020,NOR-3
ICA 53-2,Sala de Informação Aeronáutica (Sala AIS),23/01/2020,SDOP
ICA 66-32,Núcleo de Gerenciamento Técnico do SISCEAB - NUCGTEC,06/07/2019,SDTE
ICA 63-37,Localização dos Sistemas de Pouso por Instrumentos nos Aeródromos e Informações Técnicas sobre o seu Funcionamento,10/09/2015,SDTE
ICA 7-30,Processo de Controle de Acesso à Rede Interna e Externa do Departamento de Controle Espaço Aéreo,26/08/2013,SDTE
ICA 66-33,Operação de Casa de Força no SISCEAB,31/10/2019,SDTE
ICA 100-19,Normas e Procedimentos para Operação GCA,08/02/2017,D-OPM
ICA 66-36,Implantação/Substituição de Sistemas de Energia do SISCEAB,18/06/2019,SDTE
ICA 105-15,Estações Meteorológicas de Superfície,03/05/2021,NOR-3
ICA 11-3,PROCESSOS DA ÁREA DE AERÓDROMOS (AGA) NO ÂMBITO DO COMAER,04/01/2021,SDOP
ICA 5-8,Elaboração e Padronização das Publicações do SISCEAB,18/12/2018,GABCEA
ICA 100-4,REGRAS E PROCEDIMENTOS ESPECIAIS DE TRÁFEGO AÉREO PARA HELICÓPTEROS,02/08/2021,DGCEA
ICA 100-1,Requisitos para Operação VFR ou IFR em Aeródromos,17/12/2018,NOR-1
ICA 100-18,Habilitação Técnica para Controladores de Tráfego Aéreo.,01/12/2020,SDOP
ICA 105-16,Códigos Meteorológicos,14/03/2017,NOR-3
ICA 105-11,Aferição Operacional de Radares Meteorológicos,21/09/2017,NOR-3
ICA 164-7,Programa de Qualidade de Vida no Trabalho no Âmbito do DECEA,15/06/2018,SDAD
ICA 64-2,Sinais de Alerta do Sistema COSPAS-SARSAT,12/06/2018,D-SAR
ICA 63-13,"Procedimentos dos Órgãos do SISCEAB Relacionados com AVOEM, AVANAC e AVOMD",17/05/2018,D-OPM
ICA 57-1,Elaboração de Procedimentos Especiais Militares de Voo por Instrumentos (PEMVI),23/04/2018,D-OPM
ICA 100-15,Mensagens ATS,15/11/2012,NOR-1
ICA 63-7,Atribuições dos Órgãos do SISCEAB após a Ocorrência de Acidente Aeronáutico ou Incidente Aeronáutico Grave,05/03/2018,ASEGCEA
ICA 212-3,Rede de Unidades de Informação do DECEA (REUNI),18/05/2017,SBI
ICA 100-42,Simulação ATM no Âmbito do SISCEAB,02/06/2020,CCO-1
ICA 53-3,Gestão do Profissional AIS,02/08/2021,NOR-4
ICA 100-43,Horário de Trabalho do Pessoal ATFM,07/07/2016,SDOP
ICA 105-1,Divulgação de Informações Meteorológicas,03/05/2021,NOR-3
ICA 66-22,Gerenciamento de Inoperâncias no SISCEAB,23/01/2015,SDTE
ICA 53-5,Coleta de Dados Estatísticos AIS,03/05/2021,NOR-4
ICA 400-38,"Solicitação, Execução e Fiscalização dos Contratos de Suporte Logístico no SISCEAB",23/01/2015,DGCEA
ICA 100-13,Regras de Tráfego Aéreo para Circulação Operacional Militar ,15/12/2015,D-OPM
ICA 100-2,Correção QNE,12/01/2016,D-GNA
ICA 164-2,Programa Integrar,13/01/2016,ACAP
ICA 12-24,Procedimentos Administrativos para a Cobrança de Serviços Prestados pelo DECEA ou Organizações Subordinadas,01/12/2015,SDAD
ICA 63-36,"Atividades de Fatores Humanos, Aspecto Psicológico no Gerenciamento da Segurança Operacional",18/09/2015,ASEGCEA
ICA 63-19,Critérios de Análise Técnica da Área de Aeródromos (AGA),04/01/2021,D-GNA
ICA 7-32,Requisitos Técnicos para Aquisição e Desenvolvimento de Sistemas Seguros de Tecnologia da Informação do DECEA,02/07/2014,SDTE
ICA 100-9,PROCEDIMENTOS ESPECIAIS PARA AERONAVE PRESIDENCIAL,13/05/2015,DGCEA
ICA 100-39,Operação Aeroagrícola,09/04/2015,NOR-1
ICA 66-30,Requisitos Básicos para os Sisitemas de Aterramentos e Proteção Contra Surtos em Instalações do SISCEAB,12/06/2014,SDTE
ICA 66-27,Manutenção e Calibração de Instrumentos e Equipamentos Meteorológicos do SISCEAB,20/11/2014,SDTE
ICA 105-8,Métodos de Avaliação de Previsões Meteorológicas,01/09/2020,NOR-3
ICA 53-1,NOTAM,04/01/2021,NOR-4
ICA 66-29,Segurança em Instalações e Serviços com Eletricidade no SISCEAB,05/02/2014,SDTE
ICA 164-5,Estrutura e Funcionamento da Comissão de Segurança do Trabalho (CST),26/04/2018,SDAD
ICA 63-26,Gerenciamento do Risco à Segurança Operacional (GRSO) no SISCEAB,02/08/2010,ASEGCEA
ICA 100-16,Sistema de Pouso por Instrumentos  (ILS),02/10/2013,SDOP
ICA 105-7,Preenchimento do IEPV 105-78,01/09/2013,NOR-3
ICA 7-23,Processo de Gestão de Incidentes de Segurança da Informação do Departamento de Controle do Espaço Aéreo,27/06/2013,SDTE
ICA 63-32,Pesquisas de Segurança Operacional para os Provedores de Serviços de Tráfego Aéreo,18/07/2013,ASEGCEA
ICA 102-15,Controles de Segurança da Informação da Rede de Telefonia IP do COMAER,01/04/2013,SDTE
ICA 800-2,"Validação de Sistemas de Software de Comunicação, Navegação e Vigilância para o SISCEAB",14/06/2011,SDTE
ICA 400-31,Gerenciamento do Ciclo de Vida de Sistemas e Materiais do SISCEAB,29/10/2010,SDTE
ICA 63-11,Estrutura e Atribuições do Subsistema de Segurança do Sistema de Controle do Espaço Aéreo Brasileiro,30/11/2009,ASEGCEA
ICA 205-40,Ações de Segurança e Defesa no SISCEAB,19/07/2010,SDAD
ICA 19-78,Processo de  Planejamento do DECEA e Organizações Subordinadas,23/12/2020,APLOG
ICA 66-16,Oficina Regional de Climatização,25/12/2003,D-NAV
ICA 63-14,Credenciamento dos Integrantes do DECEA e OM Subordinadas para Acesso às Áreas Restritas e de Segurança dos Aeroportos,02/01/2004,VIDEX
ICA 164-3,Programa de Atenção aos Destacamentos de Controle do Espaço Aéreo,11/12/2003,D-APH
ICA 164-1,Instruções Reguladoras de Apoio ao Homem,12/06/2002,ACAP
ICA 37-288,"Currículo Mínimo do Treinamento em Gerenciamento de Recursos de Equipe, com Foco no Gerenciamento do Erro EM/TRM (ASE-001)",01/07/2005,D-CTP
ICA 30-7,Estágio Curricular e Extra-curricular no DECEA e OM Subordinadas,11/08/2008,ACAP
ICA 19-73,Programa de Trabalho Anual do Departamento de Controle do Espaço Aéreo ,05/01/2007,VIDPLAN
ICA 351-1,Sobrevôo sem Pouso,24/04/2006,DFCT
ICA 100-32,Procedimentos Operacionais e Orientações de Treinamento para Pilotos e Controlador de Tráfego Aéreo com Relação ao Sistema Anticolisão de Bordo (ACAS),20/11/2008,D-GNA
ICA 67-31,Procedimentos do Suprimento e Manutenção para Desativação dos Materiais dos Sistemas/Equipamentos Desativados no SISCEAB,24/08/2007,D-SUP
ICA 63-20,"Requisitos Técnicos, Logísticos e Industriais de Torre de Controle",09/03/2009,SDTE
ICA 7-2,Visita de Assessoria em Tecnologia da Informação (VATI),08/04/2009,SCART
